Problem:    EON_intra
Rows:       13847
Columns:    4100 (4100 integer, 4100 binary)
Non-zeros:  39680
Status:     INTEGER OPTIMAL
Objective:  Index = 10 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 Index                      10                             
     2 FIRST_INDEX_1[1,1,1,2]
                                   0                           1 
     3 FIRST_INDEX_1[1,1,1,4]
                                   1                           1 
     4 FIRST_INDEX_1[1,1,1,5]
                                   0                           1 
     5 FIRST_INDEX_1[1,1,2,1]
                                   0                           1 
     6 FIRST_INDEX_1[1,1,2,3]
                                   0                           1 
     7 FIRST_INDEX_1[1,1,2,5]
                                   0                           1 
     8 FIRST_INDEX_1[1,1,3,2]
                                   0                           1 
     9 FIRST_INDEX_1[1,1,3,5]
                                   0                           1 
    10 FIRST_INDEX_1[1,1,3,6]
                                   0                           1 
    11 FIRST_INDEX_1[1,1,4,1]
                                   0                           1 
    12 FIRST_INDEX_1[1,1,4,5]
                                   0                           1 
    13 FIRST_INDEX_1[1,1,4,6]
                                   1                           1 
    14 FIRST_INDEX_1[1,1,5,1]
                                   0                           1 
    15 FIRST_INDEX_1[1,1,5,2]
                                   0                           1 
    16 FIRST_INDEX_1[1,1,5,3]
                                   0                           1 
    17 FIRST_INDEX_1[1,1,5,4]
                                   0                           1 
    18 FIRST_INDEX_1[1,1,5,6]
                                   0                           1 
    19 FIRST_INDEX_1[1,1,6,3]
                                   0                           1 
    20 FIRST_INDEX_1[1,1,6,4]
                                   0                           1 
    21 FIRST_INDEX_1[1,1,6,5]
                                   0                           1 
    22 FIRST_INDEX_2[1,0,0,1,1,2]
                                   0                          -0 
    23 FIRST_INDEX_2[1,0,0,1,1,4]
                                   0                          -0 
    24 FIRST_INDEX_2[1,0,0,1,1,5]
                                   0                          -0 
    25 FIRST_INDEX_2[1,0,0,1,2,1]
                                   0                          -0 
    26 FIRST_INDEX_2[1,0,0,1,2,3]
                                   0                          -0 
    27 FIRST_INDEX_2[1,0,0,1,2,5]
                                   0                          -0 
    28 FIRST_INDEX_2[1,0,0,1,3,2]
                                   0                          -0 
    29 FIRST_INDEX_2[1,0,0,1,3,5]
                                   0                          -0 
    30 FIRST_INDEX_2[1,0,0,1,3,6]
                                   0                          -0 
    31 FIRST_INDEX_2[1,0,0,1,4,1]
                                   0                          -0 
    32 FIRST_INDEX_2[1,0,0,1,4,5]
                                   0                          -0 
    33 FIRST_INDEX_2[1,0,0,1,4,6]
                                   0                          -0 
    34 FIRST_INDEX_2[1,0,0,1,5,1]
                                   0                          -0 
    35 FIRST_INDEX_2[1,0,0,1,5,2]
                                   0                          -0 
    36 FIRST_INDEX_2[1,0,0,1,5,3]
                                   0                          -0 
    37 FIRST_INDEX_2[1,0,0,1,5,4]
                                   0                          -0 
    38 FIRST_INDEX_2[1,0,0,1,5,6]
                                   0                          -0 
    39 FIRST_INDEX_2[1,0,0,1,6,3]
                                   0                          -0 
    40 FIRST_INDEX_2[1,0,0,1,6,4]
                                   0                          -0 
    41 FIRST_INDEX_2[1,0,0,1,6,5]
                                   0                          -0 
    42 FIRST_INDEX_2[1,0,1,1,1,2]
                                   0                          -0 
    43 FIRST_INDEX_2[1,0,1,1,1,4]
                                   0                          -0 
    44 FIRST_INDEX_2[1,0,1,1,1,5]
                                   0                          -0 
    45 FIRST_INDEX_2[1,0,1,1,2,1]
                                   0                          -0 
    46 FIRST_INDEX_2[1,0,1,1,2,3]
                                   0                          -0 
    47 FIRST_INDEX_2[1,0,1,1,2,5]
                                   0                          -0 
    48 FIRST_INDEX_2[1,0,1,1,3,2]
                                   0                          -0 
    49 FIRST_INDEX_2[1,0,1,1,3,5]
                                   0                          -0 
    50 FIRST_INDEX_2[1,0,1,1,3,6]
                                   0                          -0 
    51 FIRST_INDEX_2[1,0,1,1,4,1]
                                   0                          -0 
    52 FIRST_INDEX_2[1,0,1,1,4,5]
                                   0                          -0 
    53 FIRST_INDEX_2[1,0,1,1,4,6]
                                   0                          -0 
    54 FIRST_INDEX_2[1,0,1,1,5,1]
                                   0                          -0 
    55 FIRST_INDEX_2[1,0,1,1,5,2]
                                   0                          -0 
    56 FIRST_INDEX_2[1,0,1,1,5,3]
                                   0                          -0 
    57 FIRST_INDEX_2[1,0,1,1,5,4]
                                   0                          -0 
    58 FIRST_INDEX_2[1,0,1,1,5,6]
                                   0                          -0 
    59 FIRST_INDEX_2[1,0,1,1,6,3]
                                   0                          -0 
    60 FIRST_INDEX_2[1,0,1,1,6,4]
                                   0                          -0 
    61 FIRST_INDEX_2[1,0,1,1,6,5]
                                   0                          -0 
    62 FIRST_INDEX_2[1,0,2,1,1,2]
                                   0                          -0 
    63 FIRST_INDEX_2[1,0,2,1,1,4]
                                   0                          -0 
    64 FIRST_INDEX_2[1,0,2,1,1,5]
                                   0                          -0 
    65 FIRST_INDEX_2[1,0,2,1,2,1]
                                   0                          -0 
    66 FIRST_INDEX_2[1,0,2,1,2,3]
                                   0                          -0 
    67 FIRST_INDEX_2[1,0,2,1,2,5]
                                   0                          -0 
    68 FIRST_INDEX_2[1,0,2,1,3,2]
                                   0                          -0 
    69 FIRST_INDEX_2[1,0,2,1,3,5]
                                   0                          -0 
    70 FIRST_INDEX_2[1,0,2,1,3,6]
                                   0                          -0 
    71 FIRST_INDEX_2[1,0,2,1,4,1]
                                   0                          -0 
    72 FIRST_INDEX_2[1,0,2,1,4,5]
                                   0                          -0 
    73 FIRST_INDEX_2[1,0,2,1,4,6]
                                   0                          -0 
    74 FIRST_INDEX_2[1,0,2,1,5,1]
                                   0                          -0 
    75 FIRST_INDEX_2[1,0,2,1,5,2]
                                   0                          -0 
    76 FIRST_INDEX_2[1,0,2,1,5,3]
                                   0                          -0 
    77 FIRST_INDEX_2[1,0,2,1,5,4]
                                   0                          -0 
    78 FIRST_INDEX_2[1,0,2,1,5,6]
                                   0                          -0 
    79 FIRST_INDEX_2[1,0,2,1,6,3]
                                   0                          -0 
    80 FIRST_INDEX_2[1,0,2,1,6,4]
                                   0                          -0 
    81 FIRST_INDEX_2[1,0,2,1,6,5]
                                   0                          -0 
    82 FIRST_INDEX_2[1,0,3,1,1,2]
                                   0                          -0 
    83 FIRST_INDEX_2[1,0,3,1,1,4]
                                   0                          -0 
    84 FIRST_INDEX_2[1,0,3,1,1,5]
                                   0                          -0 
    85 FIRST_INDEX_2[1,0,3,1,2,1]
                                   0                          -0 
    86 FIRST_INDEX_2[1,0,3,1,2,3]
                                   0                          -0 
    87 FIRST_INDEX_2[1,0,3,1,2,5]
                                   0                          -0 
    88 FIRST_INDEX_2[1,0,3,1,3,2]
                                   0                          -0 
    89 FIRST_INDEX_2[1,0,3,1,3,5]
                                   0                          -0 
    90 FIRST_INDEX_2[1,0,3,1,3,6]
                                   0                          -0 
    91 FIRST_INDEX_2[1,0,3,1,4,1]
                                   0                          -0 
    92 FIRST_INDEX_2[1,0,3,1,4,5]
                                   0                          -0 
    93 FIRST_INDEX_2[1,0,3,1,4,6]
                                   0                          -0 
    94 FIRST_INDEX_2[1,0,3,1,5,1]
                                   0                          -0 
    95 FIRST_INDEX_2[1,0,3,1,5,2]
                                   0                          -0 
    96 FIRST_INDEX_2[1,0,3,1,5,3]
                                   0                          -0 
    97 FIRST_INDEX_2[1,0,3,1,5,4]
                                   0                          -0 
    98 FIRST_INDEX_2[1,0,3,1,5,6]
                                   0                          -0 
    99 FIRST_INDEX_2[1,0,3,1,6,3]
                                   0                          -0 
   100 FIRST_INDEX_2[1,0,3,1,6,4]
                                   0                          -0 
   101 FIRST_INDEX_2[1,0,3,1,6,5]
                                   0                          -0 
   102 FIRST_INDEX_2[1,0,4,1,1,2]
                                   0                          -0 
   103 FIRST_INDEX_2[1,0,4,1,1,4]
                                   0                          -0 
   104 FIRST_INDEX_2[1,0,4,1,1,5]
                                   0                          -0 
   105 FIRST_INDEX_2[1,0,4,1,2,1]
                                   0                          -0 
   106 FIRST_INDEX_2[1,0,4,1,2,3]
                                   0                          -0 
   107 FIRST_INDEX_2[1,0,4,1,2,5]
                                   0                          -0 
   108 FIRST_INDEX_2[1,0,4,1,3,2]
                                   0                          -0 
   109 FIRST_INDEX_2[1,0,4,1,3,5]
                                   0                          -0 
   110 FIRST_INDEX_2[1,0,4,1,3,6]
                                   0                          -0 
   111 FIRST_INDEX_2[1,0,4,1,4,1]
                                   0                          -0 
